,popularity,album.total_tracks,audio_features.acousticness,audio_features.danceability,audio_features.energy,audio_features.instrumentalness,audio_features.loudness,audio_features.liveness,audio_features.tempo,audio_features.mode,audio_features.speechiness,audio_features.valence,audio_features.time_signature,audio_features.key
0,90,1,0.198,0.788,0.758,8.5e-05,-6.513,0.104,119.008,1,0.0505,0.823,4,1
1,97,1,0.255,0.751,0.819,0.0,-4.372,0.236,131.842,0,0.0409,0.697,3,11
2,100,1,0.256,0.75,0.733,0.0,-3.18,0.114,111.018,0,0.0319,0.844,1,6
3,99,1,0.0026,0.943,0.558,2.19e-06,-4.911,0.0937,104.983,1,0.0568,0.606,4,2
4,98,11,0.868,0.504,0.308,0.135,-14.958,0.158,113.95,1,0.0321,0.121,4,9
5,97,3,0.0545,0.522,0.641,0.0,-6.287,0.162,87.51,1,0.0318,0.202,4,8
6,99,18,0.117,0.552,0.702,2.06e-05,-5.707,0.105,169.994,1,0.157,0.564,4,9
7,84,15,0.00529,0.624,0.74,0.000224,-8.445,0.5,172.089,1,0.0481,0.246,4,2
8,96,14,0.782,0.662,0.488,0.0,-6.894,0.102,117.913,1,0.0682,0.817,4,9
9,95,1,0.152,0.778,0.835,0.0,-3.598,0.109,140.082,0,0.0767,0.666,4,11
10,95,10,0.131,0.774,0.86,0.0,-2.888,0.116,100.019,0,0.13,0.446,4,7
11,82,14,0.00348,0.685,0.61,0.00054,-5.36,0.183,107.999,0,0.0343,0.464,4,5
12,86,1,0.588,0.704,0.571,0.0,-8.212,0.117,96.016,0,0.156,0.443,4,7
13,95,1,0.0569,0.855,0.678,3.69e-05,-6.276,0.412,99.029,1,0.189,0.852,4,1
14,83,15,0.00495,0.678,0.758,0.0,-6.524,0.57,165.423,1,0.227,0.318,4,1
15,96,12,0.136,0.464,0.417,0.022,-9.345,0.0974,67.528,0,0.0256,0.479,4,0
16,95,1,0.0562,0.72,0.88,0.06,-2.834,0.153,180.011,1,0.101,0.463,4,9
17,91,11,0.312,0.79,0.831,0.0,-4.185,0.0797,124.987,1,0.044,0.872,4,11
18,85,15,0.00234,0.73,0.849,2.6e-05,-5.281,0.312,117.31,0,0.0299,0.887,4,1
